posa4.txt,posd5.txt,vela5.txt,posd2.txt,trq5.txt,trq1.txt,trq4.txt,vela4.txt,vela3.txt,posa1.txt,posd4.txt,trq2.txt,trq3.txt,vela1.txt,posd1.txt,posa3.txt,posa2.txt,vela2.txt,posd3.txt,posa5.txt
0.0587832,0.0108953,-0.0,0.0983127,-0.27832,1.43192,0.767652,0.448378,-0.0764454,0.160966,0.176963,4.23829,-3.45385,0.741765,0.294938,-0.0212058,0.00748142,0.0563876,-0.0786643,0.000685841
0.0638496,0.0114707,0.00147493,0.103516,-0.27832,1.4476,0.937839,0.482301,-0.0827286,0.168236,0.186328,4.26964,-3.35335,0.747806,0.310547,-0.0221011,0.00832723,0.0771973,-0.0828266,0.000707965
0.0688717,0.0120617,-0.0,0.108859,-0.27832,1.41102,0.811104,0.50885,-0.10472,0.175879,0.195947,4.30622,-3.42705,0.753177,0.326578,-0.0232321,0.00930395,0.0912941,-0.0871014,0.000730088
0.0745133,0.0126682,0.00147493,0.114342,-0.260925,1.43192,0.923355,0.541298,-0.120428,0.183521,0.205816,4.4421,-3.41365,0.753848,0.343027,-0.0245201,0.0103713,0.106734,-0.0914879,0.000730088
0.0802434,0.0132899,-0.0,0.119964,-0.257446,1.44238,0.785757,0.575221,-0.136136,0.191124,0.215935,4.43165,-3.55435,0.759218,0.359892,-0.0259181,0.0116199,0.118817,-0.0959851,0.000730088
0.0866593,0.0139268,0.00147493,0.125723,-0.250488,1.55212,0.919734,0.60767,-0.144513,0.198847,0.226302,4.301,-3.5711,0.763246,0.37717,-0.0274104,0.0130195,0.131571,-0.100592,0.000752212
0.0929867,0.0145788,-0.0,0.131618,-0.24353,1.46328,0.771273,0.638643,-0.158127,0.206318,0.236913,4.40552,-3.58785,0.767945,0.394855,-0.0289655,0.0146507,0.153723,-0.105308,0.000752212
0.0995133,0.0152457,-0.0,0.137648,-0.24353,1.52599,0.930597,0.668142,-0.166504,0.214222,0.247766,4.49959,-3.6381,0.771973,0.412943,-0.0307248,0.0164128,0.171177,-0.110132,0.000752212
0.106704,0.0159273,0.00147493,0.14381,-0.233093,1.43192,0.872661,0.69174,-0.191637,0.221986,0.258859,4.43687,-3.6314,0.776,0.431431,-0.0327511,0.0183763,0.187287,-0.115062,0.000774336
0.114558,0.0166234,-0.0,0.150105,-0.233093,1.57825,0.803862,0.725664,-0.213628,0.230253,0.270188,4.61456,-3.7587,0.777343,0.450314,-0.0350131,0.020662,0.20944,-0.120097,0.000774336
0.122345,0.0173338,-0.0,0.156528,-0.229614,1.57825,0.90525,0.756637,-0.219911,0.237935,0.281751,4.4421,-3.72185,0.783384,0.469585,-0.0372593,0.0230484,0.226222,-0.125236,0.00079646
0.130133,0.0180584,0.00147493,0.16308,-0.219177,1.57825,0.898008,0.783186,-0.241903,0.246081,0.293544,4.65114,-3.7319,0.785398,0.48924,-0.039804,0.0256161,0.244346,-0.130477,0.00079646
0.138473,0.018797,-0.0,0.169758,-0.215698,1.53122,0.811104,0.827434,-0.263894,0.253734,0.305564,4.51526,-3.86255,0.790097,0.509273,-0.0425529,0.0282441,0.264485,-0.135819,0.00079646
0.147235,0.0195492,0.00147493,0.176559,-0.212219,1.48941,0.785757,0.858407,-0.277507,0.261548,0.317807,4.74521,-3.81565,0.792111,0.529678,-0.0453489,0.0312649,0.286637,-0.14126,0.000818584
0.15635,0.0203149,-0.0,0.183483,-0.212219,1.62529,0.850935,0.893805,-0.301593,0.269613,0.330269,4.64591,-3.76875,0.796139,0.550449,-0.0484434,0.0343159,0.308118,-0.146799,0.000818584
0.16573,0.0210939,-0.0,0.190526,-0.201782,1.54167,0.883524,0.921829,-0.320442,0.277679,0.342947,4.67204,-3.83575,0.800166,0.571579,-0.0518049,0.0376689,0.322886,-0.152434,0.000818584
0.175111,0.0218859,0.00147493,0.197687,-0.201782,1.58348,0.86904,0.952802,-0.345575,0.285412,0.355837,4.79224,-3.79555,0.804194,0.593061,-0.0551192,0.0411025,0.347052,-0.158162,0.000840708
0.185133,0.0226906,-0.0,0.204963,-0.201782,1.51031,0.836451,0.986726,-0.368614,0.293527,0.368934,4.63024,-3.86925,0.811578,0.614889,-0.0589677,0.0449187,0.371218,-0.163983,0.000840708
0.195177,0.0235078,-0.0,0.212352,-0.201782,1.53122,0.800241,1.0177,-0.384322,0.301673,0.382233,4.53094,-3.86255,0.812249,0.637056,-0.0627219,0.0490169,0.391357,-0.169894,0.000840708
0.205553,0.0243372,0.00147493,0.219851,-0.184387,1.64619,0.771273,1.04867,-0.406313,0.30984,0.395732,4.57798,-3.94295,0.814263,0.659553,-0.0668845,0.0531654,0.425592,-0.175893,0.000862832
0.216881,0.0251784,-0.0,0.227458,-0.184387,1.56257,0.782136,1.08112,-0.418879,0.318006,0.409424,4.5832,-3.90275,0.818291,0.682373,-0.0712042,0.0576865,0.443045,-0.181978,0.000862832
0.227898,0.0260314,-0.0,0.235169,-0.180908,1.5887,0.778515,1.11062,-0.446106,0.326283,0.423305,4.68772,-3.9798,0.823661,0.705508,-0.0757595,0.0624895,0.465869,-0.188148,0.000862832
0.239204,0.0268956,0.00147493,0.242984,-0.177429,1.54167,0.76041,1.14602,-0.462861,0.33459,0.43737,4.65637,-4.01665,0.826346,0.728951,-0.0805033,0.0674939,0.490035,-0.194399,0.000884956
0.252212,0.0277708,-0.0,0.250897,-0.170471,1.55735,0.756789,1.18584,-0.481711,0.34335,0.451615,4.54662,-4.03005,0.831717,0.752692,-0.0856869,0.0733743,0.515543,-0.20073,0.000884956
0.264934,0.0286568,-0.0,0.258908,-0.166992,1.61483,0.753168,1.21386,-0.502655,0.351818,0.466034,4.54662,-4.0468,0.831717,0.776723,-0.0908706,0.0786405,0.544408,-0.207138,0.000884956
0.276792,0.0295531,0.00147493,0.267012,-0.166992,1.66709,0.742305,1.24041,-0.522552,0.359803,0.480622,4.54139,-4.03675,0.837758,0.801037,-0.0960542,0.0845209,0.566561,-0.213621,0.00090708
0.289226,0.0304595,-0.0,0.275208,-0.166992,1.5887,0.706095,1.26696,-0.546637,0.367989,0.495374,4.50481,-4.05685,0.839772,0.825623,-0.101348,0.0902906,0.588042,-0.220177,0.00090708
0.301836,0.0313756,-0.0,0.283491,-0.166992,1.62529,0.65178,1.30236,-0.563392,0.376427,0.510283,4.53094,-4.1674,0.842457,0.850472,-0.10705,0.096322,0.620263,-0.226804,0.000929203
0.31646,0.0323011,0.00147493,0.291859,-0.156555,1.5678,0.644538,1.33776,-0.569675,0.385328,0.525346,4.44733,-4.19755,0.846485,0.875576,-0.113192,0.103451,0.642415,-0.233498,0.000929203
0.330796,0.0332356,-0.0,0.300308,-0.156555,1.60961,0.677127,1.37168,-0.591667,0.393887,0.540555,4.45255,-4.15065,0.848499,0.900925,-0.119271,0.110046,0.667253,-0.240258,0.000929203
